WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,
10,10,-1,,,,,,,
,,,,,,,,,
,,,,,,,,,
"20,1,-1","20,0,62","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,62","20,2,-1"
"20,1,-1","20,63,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,63,-1","20,2,-1"
"20,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,2,-1"
"20,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,2,-1"
"20,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,2,-1"
"20,1,-1","20,67,-1","20,-1,-1","20,-1,-1","65,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,67,-1","20,2,-1"
"20,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,2,-1"
"20,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,2,-1"
"20,1,-1","20,67,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,67,-1","20,2,-1"
"20,1,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,0,-1","20,2,-1"
,,,,,,,,,
ShapeSize,0,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,
